id_asignacion_transporte,id_vehiculo,id_conductor,id_plan_entrega,id_usuario,estado_asignacion,fecha_inicio_estimada,fecha_fin_estimada,observaciones,fecha_creacion,fecha_actualizacion
859dc441-2e80-433d-b0ca-287a6a6ce192,b2f0a45e-e7e3-43d5-a694-8fef5b5e4b3e,b095b4bc-cf20-49e4-bd89-9ca7ac97a772,8bf65410-12a8-4ea2-accc-ee08ef795028,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,en_proceso,2024-04-20 07:00:00,2024-04-20 09:00:00,Entrega en curso,2024-04-20 07:00:00,2024-04-20 07:00:00
473e95e2-210f-4f25-9057-44d0fdb44b5a,210521c2-a2c2-4441-857f-3dbd72967fe5,f2036a84-9f41-4b0c-8840-3339e2affd55,b75b8afd-94a6-4eca-aafc-30eb322ff773,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e,pendiente,2024-04-16 09:00:00,2024-04-16 11:00:00,Entrega programada para la mañana,2024-04-16 09:00:00,2024-04-16 09:00:00
66ed12d7-1656-4eb2-b00f-f38dbfbdf8ba,f4ae4e03-c510-4d74-86bf-ab6f4bb718f7,01675b92-acb6-4af6-9e45-23ec01a8a0c8,f4f8defa-03cf-4c37-b5cb-3e6778d8351a,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,completada,2024-04-16 22:00:00,2024-04-17 00:00:00,Entrega completada exitosamente,2024-04-16 22:00:00,2024-04-16 22:00:00
d94dc1c2-ae5d-4232-bc02-d7467905cd29,0162263a-90f3-47a0-975e-e394a4281fb7,e0a13301-ac33-4a5d-917d-42912ac11e45,b43511f7-16ca-4d15-b572-d3b6f00b63ec,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,en_proceso,2024-04-21 06:00:00,2024-04-21 08:00:00,Entrega programada para la mañana,2024-04-21 06:00:00,2024-04-21 06:00:00
2de8e262-7d48-4bea-8b4b-a8724fac3e1a,559f02e4-98b9-48ec-932c-2d8944cd5d0d,9143e09e-93b5-434c-8079-7c37245d5f14,1096fa08-2c19-485a-9653-1e4b017f854d,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,completada,2024-04-16 05:00:00,2024-04-16 07:00:00,Entrega programada para la mañana,2024-04-16 05:00:00,2024-04-16 05:00:00
249f1d26-c2fe-499d-8edf-0f705f389c18,338740f3-3eff-4aea-9ab7-204b97c86ce7,9cc7cb27-da61-45b2-86b0-075b0ed74137,6143352f-8a42-41cd-bd27-ce4c5c50592b,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a,en_proceso,2024-04-21 23:00:00,2024-04-22 01:00:00,Entrega programada para la mañana,2024-04-21 23:00:00,2024-04-21 23:00:00
fe901618-257d-42a2-bb8a-a990e92f87c1,eb8dfb4d-ab1b-472e-b148-1025db6ecd8d,fc36d922-33dd-4e77-9519-b8b31cb51630,ab482d97-f011-4ec4-a06d-72af776f4ab4,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,completada,2024-04-15 12:00:00,2024-04-15 14:00:00,Entrega completada exitosamente,2024-04-15 12:00:00,2024-04-15 12:00:00
7fe8c849-0299-4a6e-895d-db0cad2f8c4f,3958befb-0a81-4abb-9038-e38bb78e36fa,c0c01db3-bc74-44cc-9a8d-0a74c548b612,c4598db9-9e53-4897-887f-20cff61999fe,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,pendiente,2024-04-16 19:00:00,2024-04-16 21:00:00,Entrega en curso,2024-04-16 19:00:00,2024-04-16 19:00:00
269303fe-1a3f-4461-a3b1-ec71c43ec7ee,e4c3dac4-8def-4c37-89d2-08d051f33934,a7136085-7b97-41af-ab99-6e39335f003e,aaadc0a9-11fb-4ba6-95cb-0b83bf7a325f,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b,en_proceso,2024-04-14 22:00:00,2024-04-15 00:00:00,Entrega en curso,2024-04-14 22:00:00,2024-04-14 22:00:00
8cebd173-7b48-40ec-8537-45645dd2856e,2fb4e2ac-17dc-4778-abae-0c7090255926,973ba23b-d205-4e86-89c3-5405cb7ae693,fae014da-7ea1-425e-b7d9-bbe351b85cbe,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a,completada,2024-04-18 05:00:00,2024-04-18 07:00:00,Entrega programada para la tarde,2024-04-18 05:00:00,2024-04-18 05:00:00
b4ed18aa-5386-4516-a15a-0e0f07360e88,8e8604f8-7844-4b7d-b77e-1ba5056d17cc,b21b94c6-d13c-4e94-b4d1-ccea713db4ee,2560a863-03a3-45ec-a359-0d242cc913d5,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a,en_proceso,2024-04-18 22:00:00,2024-04-19 00:00:00,Entrega en curso,2024-04-18 22:00:00,2024-04-18 22:00:00
97801eda-4860-4528-aff6-f00c3fd91503,b37f34b8-8ae1-4d34-9c19-af3f01d7f956,b66cc8fc-50ff-478b-b818-5a9100a2de8a,55b173dc-96a5-424a-92c7-c9294c39e0ac,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,completada,2024-04-20 18:00:00,2024-04-20 20:00:00,Entrega programada para madrugada,2024-04-20 18:00:00,2024-04-20 18:00:00
0daae112-1c17-469b-aa96-0194ea9d0ca5,83088102-7f52-4d2b-9848-3c54e8691a0c,8a448643-0d30-4a9b-a1a9-7a5c8e28dea7,79c3fb6a-b242-4423-9c09-f083b2c49b0b,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,en_proceso,2024-04-19 08:00:00,2024-04-19 10:00:00,Entrega en curso,2024-04-19 08:00:00,2024-04-19 08:00:00
cd0c9a23-12b9-4dc5-b0a7-75ac28f738c2,c0a3771b-ac99-4684-8f98-04ba38d5ba17,719573d5-c77f-4519-85f2-e31ef3f12c59,4beb6627-aaff-41d6-b396-f29ed08de6f6,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,completada,2024-04-19 12:00:00,2024-04-19 14:00:00,Entrega programada para la mañana,2024-04-19 12:00:00,2024-04-19 12:00:00
6ea8a999-10fb-4269-8daa-e1d239092cd2,6edc2ade-a9df-430a-ba12-b43dc98e60bd,f556d744-3e65-44d8-8651-469cac189e5e,ef0a501d-bc09-439f-8c3e-c68a9fa82557,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,pendiente,2024-04-20 19:00:00,2024-04-20 21:00:00,Entrega programada para la tarde,2024-04-20 19:00:00,2024-04-20 19:00:00
1e81a23c-87ad-430e-a753-e8b238c351d6,bcac5d91-b1f9-4caa-9b69-d36fc3cce897,d097944d-4187-428a-93ab-8ba087f9dedb,4b236d65-b03c-4a1a-bb66-a39e3d0054a6,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e,completada,2024-04-18 06:00:00,2024-04-18 08:00:00,Entrega programada para la mañana,2024-04-18 06:00:00,2024-04-18 06:00:00
e57ae321-dde8-4668-b28b-7c88746212c6,4653fae9-9487-4a08-a364-7011c27119ce,e181e580-d85c-4226-9bc3-1df7bdeb3051,589bab05-7990-4fe4-a89f-f99410360ab2,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,completada,2024-04-22 12:00:00,2024-04-22 14:00:00,Entrega programada para madrugada,2024-04-22 12:00:00,2024-04-22 12:00:00
49612ecf-e1d7-4ffb-9876-f5ef8bf0b799,d3b449aa-4348-4ee0-9207-b260ca268216,f7e5c762-67c1-48f0-8d2f-d40d67058c48,ffe25249-c299-4e1a-a0f8-5b627d861345,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,en_proceso,2024-04-19 06:00:00,2024-04-19 08:00:00,Entrega programada para la tarde,2024-04-19 06:00:00,2024-04-19 06:00:00
c60626f6-5e44-4279-a15d-78698acb0cb6,02de4e6e-8adc-4343-b907-78f54a622e19,7ba6bd14-6f73-478d-b7e2-16e4323007a2,d8e1a3f0-92fe-45c8-bb86-366114c46283,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,en_proceso,2024-04-17 09:00:00,2024-04-17 11:00:00,Entrega en curso,2024-04-17 09:00:00,2024-04-17 09:00:00
25d5c4fb-7e98-46d6-931e-a7144d229496,1a933e07-3d9e-4b17-9c22-d5afeed09ee4,37fdd33b-b7ac-4b61-a56e-9a4b666c8623,17959b27-8a95-4a7d-aee3-a4ac40a7e993,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,completada,2024-04-18 07:00:00,2024-04-18 09:00:00,Entrega programada para la tarde,2024-04-18 07:00:00,2024-04-18 07:00:00
d34bcec9-26fe-407c-9576-0a702db45cbb,115c96ba-cecb-405f-b7cc-683f85c73740,b6bf34d0-122c-4b6c-af62-da53477c2933,7f1f05a7-f8fa-420a-86a2-b08449cacc5e,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,completada,2024-04-17 01:00:00,2024-04-17 03:00:00,Entrega completada exitosamente,2024-04-17 01:00:00,2024-04-17 01:00:00
780d033b-4bfc-487e-8275-5e9025cd70ea,c8c80145-3af4-4610-8c76-566b9ab2d476,b7d56da4-10a4-4067-b2a1-1e725d38bcf2,f175c3db-c677-4012-8d63-7e65fe8aa502,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,completada,2024-04-18 19:00:00,2024-04-18 21:00:00,Entrega programada para madrugada,2024-04-18 19:00:00,2024-04-18 19:00:00
be26f7ae-aeaf-41db-9ecb-2a73f2637159,4805b07a-91c3-4001-973e-f9440338a928,b5eb6e8b-16f9-43d1-9d39-f95cb18cd719,c5653577-8925-4485-a474-999b68d84408,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a,pendiente,2024-04-18 23:00:00,2024-04-19 01:00:00,Entrega programada para la mañana,2024-04-18 23:00:00,2024-04-18 23:00:00
9c522c79-4e8b-47f7-a034-a0c61dfc66fc,248a6889-80e9-474d-b2af-41ba6f8c6c26,0cfc630b-a6e6-4284-b7f9-bc656a246950,b7ab2eea-9edd-4754-9094-41c059556125,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,pendiente,2024-04-16 23:00:00,2024-04-17 01:00:00,Entrega programada para la mañana,2024-04-16 23:00:00,2024-04-16 23:00:00
674af804-8565-4a4f-b2c3-1a893245dc5d,fe4fc286-02e4-454b-ac9d-c2100a938c6e,e0593fa9-13bd-4445-9197-ee593d28d586,16d3ae0e-1d32-4427-88ed-5ce28ae57366,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,pendiente,2024-04-17 08:00:00,2024-04-17 10:00:00,Entrega programada para la mañana,2024-04-17 08:00:00,2024-04-17 08:00:00
d0815030-0b84-4eca-afa8-4877619ec50d,4bca95a0-aee1-49e9-b21a-acf6dc01d551,42d44b62-2524-41aa-b62b-51e821613413,498d439b-be54-4d6a-87b4-238b77f89d29,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,completada,2024-04-22 04:00:00,2024-04-22 06:00:00,Entrega programada para madrugada,2024-04-22 04:00:00,2024-04-22 04:00:00
e22e37c1-31d3-47ce-91f0-3acc9c0e61ef,043501bf-fa41-4404-b829-e94e571b2877,2cbe71fd-dfb6-4f0e-9f16-7e745828b65f,87f27241-6c1e-4326-b6e8-14f0aa18a418,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,completada,2024-04-15 10:00:00,2024-04-15 12:00:00,Entrega programada para madrugada,2024-04-15 10:00:00,2024-04-15 10:00:00
faf40e56-3f48-4fcf-8001-367c9e626768,3b28f6bd-8039-4d0c-b07a-34a9c06559b4,0509f105-edf6-401d-a1d5-d5d86f83c657,36097156-ed94-48b3-a4f4-5f017a0edb72,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,completada,2024-04-21 13:00:00,2024-04-21 15:00:00,Entrega programada para la tarde,2024-04-21 13:00:00,2024-04-21 13:00:00
2f5cf4bb-d116-4c15-9e90-fa0cf86322bd,925fc0bb-5906-4edd-993a-73b372378a57,c42bdadc-6ec8-44c0-8f5a-6f43f4e7990b,f2c19018-579a-4a8a-adfa-71658162df6f,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e,completada,2024-04-14 22:00:00,2024-04-15 00:00:00,Entrega programada para la mañana,2024-04-14 22:00:00,2024-04-14 22:00:00
a7523a71-36cc-4e54-8c6c-7f2e51f30f4f,3ca8b780-4219-43ae-a453-0af99f98b487,feba3226-3b24-48c4-89c1-7e6ea3ca06fd,949d7a18-f05d-4818-b072-64c8810f58dd,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,completada,2024-04-15 23:00:00,2024-04-16 01:00:00,Entrega programada para madrugada,2024-04-15 23:00:00,2024-04-15 23:00:00
6cf31792-e5c4-46ad-8191-f1d38287d55a,f5b48bd6-2482-4be5-a56f-cb8c35aba5b0,e2e2232e-63ce-403b-9253-03b2ee0e905d,c6066516-aae3-4753-9efe-087f44a288bc,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,pendiente,2024-04-19 13:00:00,2024-04-19 15:00:00,Entrega programada para la tarde,2024-04-19 13:00:00,2024-04-19 13:00:00
66162213-4332-401d-9cd3-8ae10e208a9d,ed39adf5-bcfd-41b7-9414-92c59fb38edf,c089a983-3675-448d-9fcf-ebcf983446ff,6d958bde-84b3-4dcd-887c-95895a4cd754,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,pendiente,2024-04-14 04:00:00,2024-04-14 06:00:00,Entrega programada para madrugada,2024-04-14 04:00:00,2024-04-14 04:00:00
9e612df6-11ad-4e7c-9931-4878906907db,759953a5-0c49-4313-87eb-802272a091a8,344e615f-7dd5-457b-b180-dcedd786370b,997e4f09-75a9-4b1d-8804-8cc867e6c62e,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,en_proceso,2024-04-14 04:00:00,2024-04-14 06:00:00,Entrega programada para la mañana,2024-04-14 04:00:00,2024-04-14 04:00:00
5c3b8ce4-9362-4c56-a9f4-c0ebbf30f9ec,1371c814-4105-4cda-a97d-e1e6661a0163,3c22cfd4-a7e2-41ab-a230-50e579ea7d95,5e3eebc4-e4ee-4b57-89f2-f81d0e51df7f,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,en_proceso,2024-04-20 08:00:00,2024-04-20 10:00:00,Entrega completada exitosamente,2024-04-20 08:00:00,2024-04-20 08:00:00
f6779501-6570-4390-976c-ebc5d71991ef,59037a40-647f-4e08-8274-4ee9e3d92333,fbd2fef5-de6e-43ae-8d9b-107e1d15efa9,aae8d5bd-2643-4918-bfcb-1ba503b6cd30,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d,en_proceso,2024-04-19 23:00:00,2024-04-20 01:00:00,Entrega en curso,2024-04-19 23:00:00,2024-04-19 23:00:00
8076cc1d-17e3-4830-a421-c6b4bc717381,7fafadfd-ae61-43df-8335-f1774bf58f8b,e597cee4-16b3-415c-8ddd-748a4282a33e,0861d506-8182-498e-b5b7-3bf0b5a1b5ab,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a,completada,2024-04-18 00:00:00,2024-04-18 02:00:00,Entrega programada para madrugada,2024-04-18 00:00:00,2024-04-18 00:00:00
8fd74aa3-e249-45cb-8baf-628dc353dda4,3ad350c8-c21a-4042-9e66-25270cf7eb49,bc09ee39-9d8d-433f-912f-2d2eff6b3374,a70691d8-67f1-4137-a3e0-c787a3195f4f,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,pendiente,2024-04-15 17:00:00,2024-04-15 19:00:00,Entrega programada para la tarde,2024-04-15 17:00:00,2024-04-15 17:00:00
978e07da-0e72-4c99-9290-aba8d8322b8c,8813b2ed-8091-4f2b-986b-92537ca5d1ed,272435c8-4ed7-4a03-9974-b5c3794cc88e,565830dc-d978-4138-9c16-d974611175f9,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,completada,2024-04-17 02:00:00,2024-04-17 04:00:00,Entrega programada para madrugada,2024-04-17 02:00:00,2024-04-17 02:00:00
97bda252-7dff-44da-900b-7b1b808746c9,6ed3864d-16b9-4b2d-a615-9530bb0a8a93,96c4312d-3bd2-4c6d-83fb-3b12459be883,7ab03885-ec49-45e8-9d95-667fe69c823a,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,completada,2024-04-14 20:00:00,2024-04-14 22:00:00,Entrega completada exitosamente,2024-04-14 20:00:00,2024-04-14 20:00:00
fd693c4d-aab1-4a43-8328-5412b7301598,98f37b1a-ac53-42b7-8265-1dc21d193e3f,58a50abd-9587-4d1f-bc57-7f81dde66e08,b7ba77eb-d543-4c2d-bcd5-ebb9fa6bf6ae,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,completada,2024-04-20 04:00:00,2024-04-20 06:00:00,Entrega completada exitosamente,2024-04-20 04:00:00,2024-04-20 04:00:00
8984b369-4057-4c5f-a7d6-70691b46a824,5979d92b-2969-4a1c-9299-354174246793,ce8f4d47-b4b1-4113-83de-3ab3c79484a1,7329eeae-2857-4dfa-b399-11eac5c0427b,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,en_proceso,2024-04-14 12:00:00,2024-04-14 14:00:00,Entrega completada exitosamente,2024-04-14 12:00:00,2024-04-14 12:00:00
8bd36ab5-10f8-4d6d-93d6-9fe77f83b680,9e1a83d1-f75b-40e6-8f33-4fbd69c844bd,f5246177-f5cb-4a5a-a1a0-c59e47e82305,977b4207-f7c4-4fd9-9696-294213c38ce2,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d,completada,2024-04-21 22:00:00,2024-04-22 00:00:00,Entrega programada para madrugada,2024-04-21 22:00:00,2024-04-21 22:00:00
2a83dbae-5671-43c6-98f0-11f643d00022,6092b728-5aea-4ce3-9dfc-766f8e4da75a,1dce53de-2277-44ab-ba63-c470aabbe093,d27f469f-5a63-4d65-b708-5d811acbb8ae,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,en_proceso,2024-04-21 12:00:00,2024-04-21 14:00:00,Entrega programada para la mañana,2024-04-21 12:00:00,2024-04-21 12:00:00
8e8b0a1b-2d75-4765-8219-7b697a49696a,179adf13-7660-481a-a6e7-d1e43ab5a237,10cbd0aa-1920-499c-bcdd-ecacb01806af,e08f30fd-f137-42f1-98c5-187c18a4cdb2,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d,completada,2024-04-22 23:00:00,2024-04-23 01:00:00,Entrega en curso,2024-04-22 23:00:00,2024-04-22 23:00:00
204b56d2-e3b3-45af-9b16-a59ecc466de0,b86b2a9a-ff98-45b2-acbf-61f55f318144,34383299-c0fb-43a0-b253-077aa67c14c0,cf7aec02-28d6-43aa-ae65-171b07d07781,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b,pendiente,2024-04-23 08:00:00,2024-04-23 10:00:00,Entrega programada para la tarde,2024-04-23 08:00:00,2024-04-23 08:00:00
09ef4ae1-262a-41a1-bf9a-81bc81517178,651782d9-b87c-41e4-aeec-334915c424b8,53d0f008-0429-4b52-8839-7dbcb607d9c4,1a4e3d80-d0b8-44d9-9903-773f880ff01b,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,completada,2024-04-15 16:00:00,2024-04-15 18:00:00,Entrega programada para la mañana,2024-04-15 16:00:00,2024-04-15 16:00:00
3fe3f832-4ca7-4816-80c6-bc2d0902af42,894b9e7f-d7e8-4a99-bb65-0700fff3f339,4b4705ec-31bf-48fb-a02e-e9f44f95f531,8b75efbd-43d1-4034-abde-0344f14af87e,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,en_proceso,2024-04-14 03:00:00,2024-04-14 05:00:00,Entrega programada para la tarde,2024-04-14 03:00:00,2024-04-14 03:00:00
34367fef-391c-499b-8b40-953042976206,e8badd5f-b918-431a-b3bc-6b2591147c26,4466a54c-7978-4103-bfc2-e9fee481f82a,fd9a318b-172d-4add-b35a-c3b00b38d87d,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,pendiente,2024-04-17 16:00:00,2024-04-17 18:00:00,Entrega en curso,2024-04-17 16:00:00,2024-04-17 16:00:00
5e341613-1e5f-4e9d-aa91-5b99e575c5ce,e1818e5e-12a8-4a65-81e4-d80ab962b952,1efaaffe-93c9-40cf-b003-474aa3aca11d,9c6bda16-2336-4b29-a452-cc318ecc1cf1,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,completada,2024-04-18 07:00:00,2024-04-18 09:00:00,Entrega programada para la tarde,2024-04-18 07:00:00,2024-04-18 07:00:00
653a3a8a-474c-417a-b94d-0072f87d23da,311c720a-6a71-41dc-b22d-41601efc4822,2326721b-3b86-4824-83b0-214d16fd65db,4bfc778b-c66a-40a3-8017-beaf95ade7ca,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,en_proceso,2024-04-22 18:00:00,2024-04-22 20:00:00,Entrega programada para madrugada,2024-04-22 18:00:00,2024-04-22 18:00:00
256c2967-924e-4166-8e56-f7f3a52d7e15,40ec15b2-0a15-4294-bd29-8800080e29f3,062fd1b5-2933-49ed-8527-5d40bcb80677,3bdbdbc7-06af-48d5-944f-12a574ea3649,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a,en_proceso,2024-04-23 01:00:00,2024-04-23 03:00:00,Entrega programada para la tarde,2024-04-23 01:00:00,2024-04-23 01:00:00
b331ddd7-227b-4298-83b8-49b8f96568c5,2e4becc0-fb1f-4b91-b8f8-3e1f7fc9ac3f,f4e4e1a8-6793-4245-b5cf-ddca6c0ecca1,c07a69bb-bc9c-49e2-a008-56d214d35a7e,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b,pendiente,2024-04-20 16:00:00,2024-04-20 18:00:00,Entrega programada para la mañana,2024-04-20 16:00:00,2024-04-20 16:00:00
61b000ff-86b4-4c25-bc9b-dfa4b2131651,e6642b0c-2e17-4eaa-ac03-9b10432c8a55,58161064-2d86-48d3-abc9-4b82680811e8,edc7c292-f3a2-4bf8-9355-6a2b418b3a43,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,pendiente,2024-04-21 10:00:00,2024-04-21 12:00:00,Entrega programada para la tarde,2024-04-21 10:00:00,2024-04-21 10:00:00
d24cf8aa-43bb-43f4-928e-9e2d1bf0759f,969ce001-1546-4922-b2a0-649635eac262,731c93ec-a1ef-4bfe-afbe-b7bb15675463,d4f1d2ba-d032-4720-8c18-2fe4f9a89545,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b,pendiente,2024-04-17 17:00:00,2024-04-17 19:00:00,Entrega en curso,2024-04-17 17:00:00,2024-04-17 17:00:00
3271a7f3-f41b-40ec-baad-3a4873412ebc,dfa58dcf-6977-42b1-9a1e-03afbcb3211f,05c35b2a-577a-45e1-91b2-75169647989a,35f04551-784f-424d-8ab3-671f7e8efc7a,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a,en_proceso,2024-04-14 17:00:00,2024-04-14 19:00:00,Entrega programada para la mañana,2024-04-14 17:00:00,2024-04-14 17:00:00
9d4e5d9a-22e4-4609-8868-9bdce6f58448,57f2b419-8d4a-4ad4-98bd-d7d9a202b288,4ce67222-095d-412e-98f8-88f82a8ae325,7b0b0491-b733-4191-a9ec-410fa1877be1,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,pendiente,2024-04-18 00:00:00,2024-04-18 02:00:00,Entrega completada exitosamente,2024-04-18 00:00:00,2024-04-18 00:00:00
4ceab26b-b6c5-45c4-932e-a9d06fb46f29,22c2602c-4f5b-431b-b81f-4aa7dd69823f,bc6d53dd-f6c4-437f-93e6-82b773e0af08,14973c40-1b37-4dee-9b03-3a61005a70a9,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d,pendiente,2024-04-17 20:00:00,2024-04-17 22:00:00,Entrega programada para madrugada,2024-04-17 20:00:00,2024-04-17 20:00:00
1864b14c-5832-4da4-861f-400c4a0dc75c,9aafb3a8-ca21-451d-b6bb-fb551c56956b,62d3fb13-655f-4ae0-b865-acdef9b568c9,a2303d0a-83fb-4f67-9a8a-4c27a5c702ab,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,en_proceso,2024-04-23 07:00:00,2024-04-23 09:00:00,Entrega en curso,2024-04-23 07:00:00,2024-04-23 07:00:00
aacb6ea3-bc98-48ea-8381-80381b7e868d,73bafd40-8f88-48b9-951b-dbd3b4b14889,26ff700c-60f7-474b-bf30-eab72f6b830b,26f82146-f6b1-4d05-abdd-a42be975cc57,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,completada,2024-04-15 18:00:00,2024-04-15 20:00:00,Entrega programada para madrugada,2024-04-15 18:00:00,2024-04-15 18:00:00
2700cef5-604f-4b03-93a8-d2d051cba282,cda00490-5c1d-45d9-892b-a5435664af92,a6964904-0aed-468c-a71c-ff0983c95b6a,0338f52a-788f-408c-83b9-c87712251f88,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e,pendiente,2024-04-21 22:00:00,2024-04-22 00:00:00,Entrega programada para madrugada,2024-04-21 22:00:00,2024-04-21 22:00:00
0c105044-c85b-4db1-b717-3c61d6fa24e6,4aa632c5-9f80-4482-b03e-2f20d560754b,37326310-7a42-4896-9162-8a9030ddcd3d,d3c7d3a1-094b-4c38-b0ed-84fab9338061,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b,en_proceso,2024-04-18 03:00:00,2024-04-18 05:00:00,Entrega programada para madrugada,2024-04-18 03:00:00,2024-04-18 03:00:00
418696f1-65b1-4c2e-a782-8ec555a8771c,bf601b24-8116-45b7-a146-a9ee5157311d,706f3532-90a5-407a-9d3f-c62d18e299da,3cb0851e-505c-42ed-8ff6-444218065ebc,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,en_proceso,2024-04-22 14:00:00,2024-04-22 16:00:00,Entrega en curso,2024-04-22 14:00:00,2024-04-22 14:00:00
82aa7a14-ade3-497f-9bfb-4fbfed69e411,21c95507-6bb9-4b71-b3f9-8b70dbaf8895,92a58fc5-f7d9-45c5-ba44-6afb34490731,04f1ea8d-526b-440e-afe5-3dc5f300fb6f,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e,pendiente,2024-04-18 10:00:00,2024-04-18 12:00:00,Entrega programada para la tarde,2024-04-18 10:00:00,2024-04-18 10:00:00
