id_detalle_entrega,id_entrega,id_detalle_carga,cantidad_entregada,cantidad_rechazada,motivo_rechazo,fecha_creacion,fecha_actualizacion
7804d5cf-cc58-437e-9b7f-b348a2d15fd1,2649ec19-876e-4bad-99c2-5a6118102e42,b90ac3b4-feb0-4c6b-b609-2cf484b2e179,23,0,NULL,2024-11-19 07:16:04,2024-11-19 07:16:04
1ed6fd22-fcc7-4135-8f7c-bd3fc2974976,df0810ce-bc34-4300-9fcf-e2a7698a24c1,65bdac90-9655-45b9-9179-a7da2a67cf7c,166,0,NULL,2024-04-03 17:08:12,2024-04-03 17:08:12
0a0e9e24-92b6-4736-b1fa-7ef1618c9b3b,cdce020b-bd00-491d-a060-6b190589bd28,18c316d3-ecee-4aa6-9467-8f7e0c09455e,152,39,Producto vencido,2024-11-11 12:55:56,2024-11-11 12:55:56
96e44b2b-568b-4100-9551-495abc62b16e,153a091d-e7e4-4f4a-a1e3-36f783fa2eac,de5ef3d3-769b-4316-92ff-b6aab62c9517,59,0,NULL,2024-04-23 04:51:41,2024-04-23 04:51:41
0f712605-4d0f-4e02-9785-b71945c4894b,408ff179-0e93-44af-bd08-0d1560e25251,df55e401-847b-4f89-afaa-26b6921c67d8,132,0,NULL,2024-09-04 01:46:45,2024-09-04 01:46:45
98e82156-8440-4301-8564-97335d52b355,fc296a7f-06fe-4030-b7d5-edba2516ca0d,78304d62-452e-4ea1-8a98-622116f550e9,123,0,NULL,2024-08-01 20:08:19,2024-08-01 20:08:19
9586b278-cb28-4cc4-97c8-f5fd339ea587,496436a4-cf81-4839-9557-7abf9391feb8,b0c49795-0667-4688-a3bf-0a46711dace1,108,48,Tamaño incorrecto,2024-07-23 16:55:25,2024-07-23 16:55:25
6f4fc2da-c885-4b14-9a92-4f5e655464d4,a22cedaf-04e2-4a23-9869-8b0b9f1f7fec,0d00a79c-4b7c-40e3-9d0f-0a1e8354e3f4,143,0,NULL,2024-09-09 14:13:53,2024-09-09 14:13:53
efd79e2f-15c3-4c09-842d-8ba11a211873,34cc8960-67b8-49f5-b0d8-add6c3b18586,6bd54c78-4e17-49e3-bd60-7b87a26347f0,165,4,Instrucciones en idioma incorrecto,2024-08-24 14:51:43,2024-08-24 14:51:43
09cb3f1e-8ad0-4399-ae3e-899f1982b251,3332a557-7faf-436e-96e0-362bdb845f29,a06c2723-b492-4266-8a1f-644d7ae100b7,199,51,Falta de documentación,2024-12-15 07:30:34,2024-12-15 07:30:34
4bb70c51-0b8a-4e3b-a16f-f59bdb1dc5ea,88e5dcdb-230c-46ac-ab3c-745948f46e53,b7354892-bb3d-41af-802d-4f03910d386d,162,0,NULL,2024-10-17 22:30:48,2024-10-17 22:30:48
3e3c32a3-4252-42be-a30e-4b08a1f97156,496436a4-cf81-4839-9557-7abf9391feb8,861046a6-1729-4bb6-9464-e3b1d42c39a7,176,0,NULL,2024-09-02 07:34:17,2024-09-02 07:34:17
034c86f9-bd17-4f15-b108-2bc594e6a175,14c59058-db0c-4de2-9bd2-79138faecb02,16664adf-40e5-42c6-b58e-276519f3a021,127,5,Color diferente al pedido,2024-11-20 13:26:23,2024-11-20 13:26:23
bda89cfb-4700-44c3-a471-88ff5d24a69d,4772fdfd-29ad-458a-9992-a211582e6ab3,11e8d1b7-8e1a-41a8-8fd7-75d3e6e4e576,47,0,NULL,2024-05-14 00:12:37,2024-05-14 00:12:37
55c4f533-b20e-47e8-a08c-c93a3e6cbd7a,34cc8960-67b8-49f5-b0d8-add6c3b18586,704eddac-77ab-4e01-b64f-cb983e5ad00b,129,0,NULL,2024-01-26 19:38:17,2024-01-26 19:38:17
f28614e1-811c-435c-add2-f6b85c8db922,fcfeec3f-f54e-4204-b635-362e2d9c86a5,885f98f3-2eec-4aa6-9cd2-09d0ddfd7b5a,129,0,NULL,2024-05-22 10:32:11,2024-05-22 10:32:11
2f3f1853-67fd-474b-9f36-92b7d7523f2c,25f62b3f-ad0b-45ba-a544-df78cf4cbd03,4ddde125-3768-4e6e-a6bc-6c9ae935ac7a,9,1,Etiquetado incorrecto,2024-06-03 12:07:11,2024-06-03 12:07:11
84ff8b2c-406d-4921-88bd-00f0d5ce817f,408ff179-0e93-44af-bd08-0d1560e25251,46d85793-746a-4d25-9078-d1a3b40d8dd4,195,0,NULL,2024-12-07 00:23:09,2024-12-07 00:23:09
f364e83a-b457-4dbc-a52a-2be3042b4813,a22cedaf-04e2-4a23-9869-8b0b9f1f7fec,b4571e58-c557-4ac6-b402-049339dfe219,159,2,Cantidad incorrecta,2024-03-31 14:31:00,2024-03-31 14:31:00
cb94edd1-271f-48ad-a1b2-5410cb87f832,7485c9b7-07c6-41dc-8ad7-d48094c16811,ea99ccfe-7f53-4618-89f5-3b11a5995d3e,27,0,NULL,2024-10-06 18:51:58,2024-10-06 18:51:58
df57bd56-f529-456d-bda3-fb8c722e1be6,75fd3732-f1a5-4e32-a613-c8c2092edc13,3bb89290-a3c6-4d38-a0a0-9d69340a00f3,37,0,NULL,2024-09-09 18:06:26,2024-09-09 18:06:26
bdafc5e9-2a85-497a-829c-cb8c5f47af0a,23a474b0-0c69-4a92-b82f-ec3a4a5ba71b,01746c18-32cc-4dcc-bc35-eee61505dacf,158,57,Producto no solicitado,2024-09-12 05:51:45,2024-09-12 05:51:45
e623b48e-150d-4134-974d-a671992bba53,4a6789f4-ed68-436f-a966-267f9e9f4f43,552bf762-fe95-477c-b73f-f330dd291b1c,34,0,NULL,2024-04-03 06:51:31,2024-04-03 06:51:31
d5f037f8-ce5b-41df-af9e-c148c11a85f2,48113246-13c2-4141-9ce1-9c2acbb53df3,c8ba88be-4967-47ba-84eb-f27527fada2e,54,0,NULL,2024-12-24 03:28:28,2024-12-24 03:28:28
cffe16f1-f6da-4d9a-9220-34c4a0456299,4a424bc6-8830-43f3-adfb-b263582995cc,c6cb8880-1dc6-4ce5-af7e-ec4a41b66dba,60,0,NULL,2024-05-04 05:18:12,2024-05-04 05:18:12
2bbff36b-69ae-401b-ab98-abb87eb47bc3,6d79385a-2b9b-4c1a-ba05-8535c5a2ce6c,174d0fb1-3fff-41d6-80b6-5d38c091d886,28,0,NULL,2024-10-04 02:42:31,2024-10-04 02:42:31
340a7848-d914-40a9-9d86-91db5b12f315,e49ce3e7-d79f-4590-8d7d-2e76518703ff,12b36eea-e1ce-49e0-9157-16f7b1ce2e00,163,0,NULL,2024-02-10 07:02:06,2024-02-10 07:02:06
a867d71d-8f72-4df4-a5e7-e55016e1761e,408ff179-0e93-44af-bd08-0d1560e25251,2ef4a739-c8c9-418d-9b02-89a1b6a15ed6,44,1,Producto con daño visible,2024-10-07 01:34:24,2024-10-07 01:34:24
0e0bb128-5133-4a92-8f85-86a5f156e211,0be903e8-2306-4498-8583-e8bbbc51a380,a27da211-167e-42f4-acd1-71ec0d2fc0c5,64,0,NULL,2024-02-14 11:53:35,2024-02-14 11:53:35
6cfa3957-f428-462c-a05c-464f1cb35c10,e32e3caf-9c59-42a2-9c58-8efefaeec0c0,c45b6a56-fef4-46c5-a6ee-98966ab2a02a,112,0,NULL,2024-01-27 06:29:28,2024-01-27 06:29:28
