id_incidencia,id_monitoreo_ruta,tipo_incidencia,severidad,descripcion,estado_incidencia,fecha_registro
db5f08b9-897b-40eb-b2ef-6a871cff9b37,2643962c-8c02-4ece-9d42-b7058181f904,clima_adverso,alta,Incidencia tipo clima_adverso con severidad alta,en_proceso,2025-04-08T22:26:29.812992
69aaf397-7fb7-4cb6-911a-4a6310281d14,7aefd0b0-42da-40fd-b37f-d6017ad90283,problema_temperatura,baja,Incidencia tipo problema_temperatura con severidad baja,resuelta,2025-04-22T22:26:29.812992
bd0c31d8-b852-41ba-824b-501807b2c4d6,4934ac6b-9d46-4081-829f-232b7accb14c,apertura_no_autorizada,baja,Incidencia tipo apertura_no_autorizada con severidad baja,pendiente,2025-04-07T22:26:29.812992
ee6cbc88-bbcd-4e33-a5c2-e36da34a527d,b4e77fc4-0d01-4ab1-a394-e3633f3a73b9,apertura_no_autorizada,baja,Incidencia tipo apertura_no_autorizada con severidad baja,en_proceso,2025-04-29T22:26:29.812992
257e66e7-0366-49d6-8587-45ee5a4f0988,577083b9-d70f-4d42-b3df-05a88359de06,otro,baja,Incidencia tipo otro con severidad baja,en_proceso,2025-04-24T22:26:29.812992
452b7237-4a97-4a66-adfc-cd2945c301e1,978fa229-9035-4caf-9556-314c7331c1a2,accidente,critica,Incidencia tipo accidente con severidad critica,en_proceso,2025-04-05T22:26:29.812992
a9f52ec9-3861-4223-a575-6e9f2e5f6f79,68716cbd-5b3d-43b0-a06e-34f569c1a5cf,desvio_ruta,media,Incidencia tipo desvio_ruta con severidad media,pendiente,2025-04-06T22:26:29.812992
b6e174bc-b971-4c75-bef1-38d2e00bcb7b,d7b5ef86-72a0-467d-9514-3c59833208c7,desvio_ruta,alta,Incidencia tipo desvio_ruta con severidad alta,pendiente,2025-04-28T22:26:29.812992
b69b30c6-0173-453d-9be1-35b152176c35,d66f5a68-2c94-4f72-83cc-797630215813,retraso,media,Incidencia tipo retraso con severidad media,pendiente,2025-04-27T22:26:29.812992
8d09750a-9f43-4d84-90cf-1342182539e8,4dfcd85b-c281-4ef0-9124-c4206d699c19,problema_temperatura,media,Incidencia tipo problema_temperatura con severidad media,pendiente,2025-04-25T22:26:29.812992
67e0284e-7358-4953-8f00-c1f6230cc7d4,751e6cbd-0d12-4cd3-b381-c2eb4ced2d1f,retraso,baja,Incidencia tipo retraso con severidad baja,en_proceso,2025-04-13T22:26:29.812992
64922f24-3ce2-432c-87be-ec7c1e74c2ec,2c05a383-1f55-4153-9ae9-e7f55bda5fa8,problema_trafico,critica,Incidencia tipo problema_trafico con severidad critica,resuelta,2025-04-30T22:26:29.812992
6f10f3e8-a4db-4f14-865b-5783d34b4fd9,5cd0ea50-95d9-4b2e-bd5a-9c6fd394478d,desvio_ruta,baja,Incidencia tipo desvio_ruta con severidad baja,pendiente,2025-05-01T22:26:29.812992
a62f9eb0-dd73-4bdc-a537-f30a86ae3f2b,dc3b86ad-f5cd-4627-a147-c3c177d5505f,accidente,baja,Incidencia tipo accidente con severidad baja,en_proceso,2025-04-16T22:26:29.812992
70f83128-4197-49f2-b124-ec6e23993254,7ac608e0-c429-4043-b05c-b4722f79cbf0,averia_vehiculo,critica,Incidencia tipo averia_vehiculo con severidad critica,en_proceso,2025-04-15T22:26:29.812992
