id_monitoreo_ruta,id_despacho,ubicacion_actual,velocidad,temperatura_carga,combustible_restante,estado_compartimento,timestamp_registro,distancia_recorrida,tiempo_transcurrido
b6daab9b-0c15-42b7-afeb-bc1d965ec805,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,"(-11.552909,-76.981934)",39.92,-1.6,40.48,cerrado,2025-04-30T11:46:29.639993,10.44,6:56:00
cdb695b8-9669-4856-8d6a-f512ca44038b,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,"(-11.969037,-76.814113)",99.66,1.1,93.85,abierto,2025-05-02T08:26:29.639993,391.97,8:11:00
9a59c39d-0954-4e19-b0c9-2dd34f420f4a,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,"(-11.820089,-76.915748)",58.01,7.9,77.07,cerrado,2025-04-28T09:14:29.639993,222.11,7:39:00
2057266a-5a3e-4568-a31d-942a20838bc6,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e,"(-11.639915,-76.843252)",28.6,-2.3,51.16,abierto,2025-05-03T15:29:29.639993,157.69,6:49:00
4b8264ec-c9c9-42bd-9e3b-a880f1055107,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a,"(-11.289621,-76.58656)",65.47,-3.9,79.13,abierto,2025-05-01T23:13:29.639993,218.98,8:48:00
e0d09c11-d02d-4928-862a-41d2119bbefc,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,"(-11.036939,-76.667387)",3.03,8.2,33.59,cerrado,2025-04-30T22:28:29.639993,194.28,7:12:00
1e21c157-e139-498e-b95d-379f8674ef33,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a,"(-11.413965,-76.994029)",2.48,0.6,47.65,abierto,2025-05-01T22:16:29.639993,495.1,8:36:00
a8bc8058-d9db-4b09-bfca-8642a668e2e4,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,"(-11.601001,-76.799324)",37.55,-3.2,51.23,abierto,2025-04-28T09:36:29.639993,219.64,2:25:00
6dc480ac-e753-4fd5-9fc8-57b05620117b,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,"(-11.418281,-76.736457)",57.27,-0.4,12.61,abierto,2025-05-03T07:46:29.639993,128.89,8:02:00
cb137008-6428-4414-afb7-792e7691881d,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,"(-11.601575,-76.711411)",64.45,-1.4,72.54,cerrado,2025-04-28T02:03:29.639993,381.0,6:59:00
01ec5202-2d87-483d-bc5b-2234eb79f7bf,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,"(-11.654598,-76.554665)",118.13,-0.0,66.82,cerrado,2025-04-30T07:10:29.639993,285.61,7:45:00
1a9611d8-4903-4afb-ad32-947db2ad36ab,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,"(-11.121297,-76.391726)",5.79,-1.8,71.47,cerrado,2025-04-29T10:24:29.639993,134.55,6:02:00
7ee30477-715a-450f-b090-89f09e6b1242,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,"(-11.581347,-76.049116)",50.5,10.0,55.53,cerrado,2025-04-30T15:06:29.639993,98.59,3:56:00
9a84d981-877f-4f4e-b167-c44f4d3ec35f,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,"(-11.690148,-76.905514)",94.26,-5.7,80.98,cerrado,2025-05-04T10:08:29.639993,455.45,7:03:00
b2f20cec-9087-43ee-b5fb-d5465aa00a32,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a,"(-11.101977,-76.79929)",22.64,-0.1,24.78,abierto,2025-05-02T23:22:29.639993,176.71,8:26:00
36137a6d-540e-4acd-a28e-c3d417636d14,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,"(-11.458729,-76.988082)",57.28,-7.1,94.84,cerrado,2025-04-30T00:51:29.639993,314.56,7:51:00
a01ff756-5dbb-442b-8c08-d0e36152a79c,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,"(-11.900196,-76.463205)",5.64,2.8,75.85,cerrado,2025-05-02T09:20:29.639993,285.66,4:32:00
9e208504-93c8-4ff5-9f3e-1d81e7ef58c4,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,"(-11.765486,-76.322177)",40.93,-5.8,0.95,cerrado,2025-05-01T19:39:29.639993,473.72,0:57:00
d4f7de94-7d67-4013-b494-cd0b2461d798,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,"(-11.4959,-76.74034)",70.14,-4.5,40.81,cerrado,2025-05-04T03:16:29.639993,282.69,3:02:00
0adbc6d5-a5d2-40da-ab9a-6d48aa332c26,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,"(-11.78654,-76.959594)",31.02,-4.4,92.98,abierto,2025-04-28T12:32:29.639993,131.02,5:24:00
3c706fb6-72eb-4be7-8660-4ab02cfbcb6f,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b,"(-11.17131,-76.623918)",31.34,-5.1,40.55,cerrado,2025-05-04T21:08:29.639993,191.59,8:32:00
b9601fbb-47a1-4b5d-a707-09afe85061e3,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,"(-11.516825,-76.126903)",77.72,3.1,89.43,abierto,2025-05-01T02:52:29.639993,17.75,0:28:00
a7ba1c43-6e12-4c2e-aa1c-c7877f6b9216,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,"(-11.665707,-76.595423)",99.05,-7.1,84.05,abierto,2025-05-01T10:17:29.639993,31.8,8:40:00
1a63a4d7-3244-49c3-ab8f-d335e6c39f62,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a,"(-11.93721,-76.034697)",91.33,-1.0,70.51,cerrado,2025-05-02T03:56:29.639993,120.76,1:49:00
67c699b5-5b9a-4861-b373-0c60025c0b31,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,"(-11.027099,-76.382701)",113.56,4.7,18.58,cerrado,2025-04-29T01:57:29.639993,449.97,5:38:00
57b93edb-538a-41d0-a769-e192f9808fa5,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,"(-11.877917,-76.02651)",6.28,-7.1,80.27,cerrado,2025-04-28T19:17:29.639993,340.98,7:52:00
eb7c34b3-9dae-49c4-a4b1-bc75febd534e,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,"(-11.211361,-76.679889)",91.1,5.1,50.69,abierto,2025-05-02T21:10:29.639993,154.01,7:17:00
cdef9568-3db7-4649-aee4-b0f199a7d954,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a,"(-11.288145,-76.327518)",104.51,5.2,6.71,abierto,2025-04-30T02:40:29.639993,349.19,1:47:00
4f753a85-0956-4856-9433-193e8f88fb7a,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,"(-11.085675,-76.950989)",32.81,7.6,51.08,abierto,2025-05-02T21:40:29.639993,199.51,0:36:00
366ecdd3-352d-4522-8344-5ccde8d68435,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,"(-11.458715,-76.062732)",58.83,-2.3,44.11,abierto,2025-05-01T07:29:29.639993,397.84,5:54:00
05642bdb-7052-4b0a-be32-62015a4fb491,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,"(-11.312543,-76.279925)",103.17,1.1,44.51,cerrado,2025-04-28T10:31:29.639993,484.69,2:24:00
50997174-6c9c-4536-bc4e-95bb54f84239,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d,"(-11.125075,-76.474136)",45.11,-3.6,14.95,abierto,2025-04-29T13:24:29.639993,112.86,4:36:00
034cd7dc-45fa-440c-8791-c044a86240c1,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,"(-11.070574,-76.803308)",106.44,-6.1,47.38,abierto,2025-05-01T17:38:29.639993,252.32,9:14:00
10f5fd7f-97ad-402b-a673-8dca63dad376,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d,"(-11.440312,-76.356384)",103.31,-8.1,51.68,abierto,2025-04-30T17:37:29.639993,17.31,1:22:00
294ec1ba-d964-4208-8af0-f4894f7ca9c8,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,"(-11.209699,-76.656165)",50.39,6.0,18.15,cerrado,2025-04-29T17:22:29.639993,381.86,3:06:00
9b867f0d-c2c3-4cea-ac77-a44fcbd484e5,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e,"(-11.689947,-76.625656)",52.49,6.6,41.6,cerrado,2025-05-01T03:41:29.639993,376.67,8:55:00
2ac28f74-b043-431e-8676-64dfa4feec2d,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,"(-11.218965,-76.847253)",22.41,-4.1,78.89,cerrado,2025-04-28T07:02:29.639993,161.2,1:31:00
766d144d-25f0-4e3d-8e24-737d621c81cb,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,"(-11.005818,-76.473878)",103.88,-1.9,18.34,cerrado,2025-04-30T22:03:29.639993,271.19,7:18:00
b2c0bc16-4cae-4f36-8ba8-759bdcd9d689,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,"(-11.934749,-76.336331)",79.89,7.4,66.28,cerrado,2025-04-30T20:43:29.639993,203.84,1:24:00
673f9d27-2c8f-4e22-84bf-c248a458150b,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d,"(-11.530968,-76.777919)",9.06,0.5,52.14,cerrado,2025-05-02T09:21:29.639993,409.92,1:40:00
b6b2c578-c932-4e64-867c-b89590aeace5,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,"(-11.601198,-76.085496)",35.07,-2.5,77.3,cerrado,2025-04-28T00:26:29.639993,498.21,9:46:00
01296ea4-adb1-474c-a551-98d903ec169b,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e,"(-11.838575,-76.926099)",39.8,7.2,58.05,abierto,2025-04-29T03:03:29.639993,241.42,4:00:00
dee0b8c7-72ba-4ff2-9c71-5268b65e8f33,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,"(-11.043377,-76.179521)",47.54,4.4,67.78,cerrado,2025-04-30T15:30:29.639993,487.91,1:29:00
fa5dd432-8027-43dc-b522-9883c3ada2a5,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,"(-11.653403,-76.738478)",68.46,-0.2,14.88,cerrado,2025-04-29T01:04:29.639993,354.23,0:41:00
8364b896-f9c2-4eaa-88cc-22e4bcef8964,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,"(-11.357415,-76.795157)",41.53,-9.6,45.58,cerrado,2025-05-03T01:07:29.639993,451.25,7:31:00
2dba766f-ed93-43f9-9055-0709782e2156,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,"(-11.860084,-76.538988)",90.74,-3.3,28.15,cerrado,2025-05-04T04:26:29.639993,87.85,3:02:00
750df514-8ce3-4fdf-a7d6-98cce0ebb740,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,"(-11.446008,-76.612923)",96.14,6.0,38.16,cerrado,2025-04-28T13:00:29.639993,446.14,6:09:00
f263f8c1-b761-4c2e-bb21-fc417f4c8ffd,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,"(-11.97236,-76.953938)",14.9,-9.3,14.05,cerrado,2025-05-03T22:44:29.639993,451.53,9:38:00
be53c0f7-ff98-45b9-b636-4d27caa4ac00,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,"(-11.517056,-76.409893)",63.51,0.0,46.61,abierto,2025-05-02T03:41:29.639993,416.06,1:48:00
745cd525-4a22-4088-9481-f02cacf8d258,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b,"(-11.306491,-76.992042)",50.7,-5.1,15.01,cerrado,2025-04-28T18:29:29.639993,390.64,8:27:00
bb816896-01ff-49f1-907c-6d772a414828,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a,"(-11.668287,-76.303396)",51.02,-6.4,91.73,abierto,2025-05-04T21:13:29.639993,25.61,0:03:00
45576319-404d-4a71-b860-2fd5c192c0cc,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e,"(-11.348996,-76.430029)",19.81,4.2,42.69,cerrado,2025-04-28T17:43:29.639993,425.35,3:32:00
84071cc6-11dd-49c2-a66b-74617878e14a,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a,"(-11.987224,-76.004553)",64.34,1.3,85.9,cerrado,2025-04-28T20:09:29.639993,172.84,4:30:00
83712978-8a6a-4efd-8b98-a30b936d1b5a,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d,"(-11.063653,-76.398715)",10.98,7.4,24.54,abierto,2025-04-30T20:36:29.639993,469.63,0:27:00
ff5011bd-2381-4a75-8b75-8c9de32177da,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e,"(-11.172962,-76.160213)",14.43,-2.0,63.73,cerrado,2025-04-28T00:58:29.639993,400.52,4:09:00
96f1492a-0550-41d2-8173-4ab93206dacf,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d,"(-11.857134,-76.436362)",80.82,2.6,53.68,cerrado,2025-04-28T22:48:29.639993,100.93,5:07:00
d0a70596-708e-43a2-b4d0-d714cfcfea88,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,"(-11.982024,-76.672632)",111.51,6.8,11.17,cerrado,2025-04-28T13:52:29.640994,426.42,0:25:00
65ff94d3-19f9-481b-b9c5-73d7b5424e3a,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,"(-11.13085,-76.415647)",38.67,-2.7,47.42,abierto,2025-04-30T05:23:29.640994,242.22,9:01:00
6c1f82cc-b249-4ab0-af6c-db920dbf12a8,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,"(-11.359085,-76.040499)",99.39,-6.2,51.72,abierto,2025-04-29T18:48:29.640994,403.0,4:42:00
3072308f-0ff9-46ae-9ff2-576be880d9e1,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,"(-11.880877,-76.1733)",29.18,-6.4,63.5,cerrado,2025-05-01T06:30:29.640994,50.53,9:38:00
34b1247c-f652-47b6-8061-6647b7efc6e6,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e,"(-11.065688,-76.17009)",72.11,-9.7,87.93,abierto,2025-05-03T01:14:29.640994,423.07,6:13:00
fada7155-bbdc-4d42-9cbe-dce9e868f18b,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,"(-11.085309,-76.371115)",16.18,-6.0,52.72,abierto,2025-04-30T08:59:29.640994,124.71,1:24:00
c43b98f9-2bd5-480c-a8f5-cc478ba45a6e,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,"(-11.030316,-76.283325)",59.04,-3.9,16.32,abierto,2025-05-01T16:13:29.640994,260.29,0:14:00
