id_vehiculo,placa,marca,modelo,año,color,tipo_vehiculo,capacidad_carga,capacidad_combustible,estado_vehiculo,numero_soat,fecha_vencimiento_soat,gps_imei,gps_estado,id_usuario
248af4a7-1ae6-4803-8426-c1c3934861ef,HKE-614,Toyota,Hilux,2023,Verde,camioneta,23.6,491.7,True,SOA-865,2024-12-31,GPS-228,False,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f
4280ad73-4f9f-471c-a9cb-219c9aee5416,VBJ-425,Volvo,FH16,2018,Blanco,camioneta,9.7,216.8,False,SOA-756,2024-12-31,GPS-147,True,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c
bb2f1da0-c703-489e-a152-ae4a4f5e044f,ERV-012,Mitsubishi,Fuso,2021,Amarillo,camion,18.9,406.1,True,SOA-414,2024-12-31,GPS-315,True,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a
0c5adcf1-2c67-41c9-8b24-eadf32c92e4a,GLX-327,Chevrolet,S10,2022,Blanco,camion,22.1,430.6,False,SOA-669,2024-12-31,GPS-459,True,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a
33b8e276-4483-41e5-936c-88c23a7bdfb3,FCA-438,Toyota,Hilux,2021,Amarillo,camioneta,10.0,507.9,False,SOA-309,2024-12-31,GPS-917,True,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f
e521051e-23e6-4bf9-a173-37eebf25cd3d,DUR-802,Chevrolet,S10,2022,Verde,camioneta,19.4,145.1,False,SOA-973,2024-12-31,GPS-156,False,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b
68bdb8a8-e314-42f5-824e-58f6d6655f8c,SAP-115,Ford,Ranger,2019,Blanco,camioneta,18.9,262.1,True,SOA-854,2024-12-31,GPS-751,True,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f
97a00a3c-8b61-4b24-bed6-24c73938cf6e,SZM-694,Chevrolet,S10,2018,Negro,camion,12.8,463.1,False,SOA-318,2024-12-31,GPS-862,True,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d
91f6437a-1116-464e-8444-26280313fd14,PDY-828,Mitsubishi,Fuso,2020,Blanco,camioneta,9.5,132.7,True,SOA-136,2024-12-31,GPS-870,True,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f
530141ad-20ad-4837-b085-e7a98845177c,HQA-122,Chevrolet,S10,2022,Negro,camioneta,20.1,207.6,True,SOA-858,2024-12-31,GPS-504,True,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d
1f5d5ed1-d9fd-49db-8c8f-f749373b38ce,OSM-913,Mitsubishi,Fuso,2022,Blanco,camioneta,20.5,370.0,True,SOA-018,2024-12-31,GPS-191,False,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a
843d3274-4336-447f-8dac-7a9a4e0b532b,FZE-487,Nissan,Frontier,2018,Blanco,camion,12.9,605.0,True,SOA-912,2024-12-31,GPS-338,True,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f
e186082a-2b9d-4b78-89d3-5df9dae7c20e,QUD-050,Volvo,FH16,2022,Rojo,camion,14.3,291.0,False,SOA-926,2024-12-31,GPS-958,True,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e
126f1caa-20a5-461b-9e1d-0c64e319c513,ZIM-432,Hyundai,HD65,2022,Plata,camion,11.4,452.2,False,SOA-726,2024-12-31,GPS-998,True,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d
1850a6ee-6c8b-44a7-897d-57a1bde3f0fc,HJY-734,Mitsubishi,Fuso,2018,Gris,camion,17.5,416.2,False,SOA-421,2024-12-31,GPS-632,True,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e
aa530c0d-0ad6-43a0-aed2-0d65066c0d29,YMD-423,Volvo,FH16,2023,Amarillo,camion,24.4,119.5,True,SOA-289,2024-12-31,GPS-553,False,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d
36a669d2-8797-493c-a920-e9cbf6651b09,JUS-427,Nissan,Frontier,2019,Blanco,camioneta,20.6,242.7,False,SOA-871,2024-12-31,GPS-992,False,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a
e764d6d2-1ea1-4256-a159-4ec94634b4f8,AFZ-465,Hino,300,2019,Rojo,camioneta,5.4,277.0,True,SOA-860,2024-12-31,GPS-174,True,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e
dd184998-484e-4eda-8931-ff00750c7d98,TMH-028,Ford,Ranger,2020,Amarillo,camioneta,22.4,254.6,True,SOA-458,2024-12-31,GPS-386,True,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b
6637876b-3e83-4bf0-8545-7fbce684959e,HFQ-034,Mitsubishi,Fuso,2018,Azul,camioneta,23.0,166.8,False,SOA-838,2024-12-31,GPS-742,True,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f
4cace5e6-a42b-4d74-b0f1-96eaa047f1ef,RAX-315,Hyundai,HD65,2018,Gris,camion,6.9,302.8,False,SOA-322,2024-12-31,GPS-826,True,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e
6e98c0e6-1999-423f-aa95-2ef6be855008,EOP-794,Mercedes-Benz,Actros,2018,Negro,camioneta,20.8,398.1,False,SOA-906,2024-12-31,GPS-827,True,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a
6730dd15-629a-429c-a3e6-14311f67e9d0,JQT-883,Hino,300,2022,Amarillo,camion,1.3,310.5,True,SOA-978,2024-12-31,GPS-693,True,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c
51927ded-4c0a-4426-b752-3a2dbe656c51,NZL-377,Toyota,Hilux,2023,Blanco,camioneta,15.6,502.6,True,SOA-282,2024-12-31,GPS-169,False,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d
91587fd8-b513-4c95-a95d-11dbf2b91e36,DWR-604,Chevrolet,S10,2018,Verde,camioneta,22.4,495.4,True,SOA-480,2024-12-31,GPS-375,False,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c
51fce432-57a2-4fa9-8742-b42b390c6bd6,RAS-122,Mercedes-Benz,Actros,2022,Negro,camion,19.7,596.2,False,SOA-063,2024-12-31,GPS-910,True,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e
97e13e8c-0748-42b8-8969-c49f1168dbd3,NBE-197,Chevrolet,S10,2023,Blanco,camion,11.9,732.3,True,SOA-918,2024-12-31,GPS-755,False,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e
f8dea4d5-2601-4535-93a7-1fb52c72bf1d,PMV-507,Mercedes-Benz,Actros,2019,Plata,camion,19.8,80.2,True,SOA-949,2024-12-31,GPS-333,False,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a
4a79f8ea-f6b6-4d1d-b8c2-efa3c3ec4e99,WDZ-691,Hyundai,HD65,2022,Amarillo,camioneta,17.7,87.2,False,SOA-013,2024-12-31,GPS-575,False,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a
e49a3f27-3b12-4b57-b5db-70cc576adb77,VXP-956,Volvo,FH16,2022,Amarillo,camioneta,12.9,438.1,True,SOA-121,2024-12-31,GPS-489,False,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d
69160cbb-7548-4099-bffa-48dee5925fd3,WLA-392,Mercedes-Benz,Actros,2018,Amarillo,camioneta,5.1,633.2,False,SOA-641,2024-12-31,GPS-537,True,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e
69441eb4-1797-4d07-b8ff-6551d52dc0ab,TAE-281,Nissan,Frontier,2022,Blanco,camioneta,22.6,432.9,True,SOA-365,2024-12-31,GPS-861,False,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a
8e4245e8-a53a-4ece-b440-bcd0c101d6de,REO-810,Isuzu,NQR,2023,Negro,camion,11.2,175.4,False,SOA-065,2024-12-31,GPS-639,False,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b
2738adcc-59de-4f33-b051-ca8f8022abea,GLY-976,Volvo,FH16,2018,Verde,camion,16.1,318.0,True,SOA-151,2024-12-31,GPS-819,False,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a
5b8812b2-265c-4fec-9ed1-de6d8e126b6d,GJI-647,Nissan,Frontier,2020,Gris,camioneta,10.0,562.0,False,SOA-201,2024-12-31,GPS-414,False,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a
cc530595-77e5-44a1-a07f-74839c31c321,JHE-046,Nissan,Frontier,2018,Rojo,camioneta,8.9,89.4,True,SOA-486,2024-12-31,GPS-508,True,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d
c8a237b3-31db-4db0-9a0c-77368448cbe3,RII-966,Nissan,Frontier,2019,Plata,camion,21.7,624.4,False,SOA-933,2024-12-31,GPS-195,True,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c
56791c7f-f6fa-416e-bb16-d6e24e1ab958,HDX-076,Hino,300,2020,Gris,camion,17.9,554.1,False,SOA-875,2024-12-31,GPS-876,True,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c
47a5f014-cf35-40f1-80bd-a9c20c21cb09,IZT-440,Isuzu,NQR,2023,Azul,camioneta,17.0,544.8,True,SOA-610,2024-12-31,GPS-566,False,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d
3539a6b6-6a2d-4c7a-9116-6aef04a2a1fc,DUX-401,Chevrolet,S10,2018,Negro,camioneta,13.3,649.9,False,SOA-789,2024-12-31,GPS-228,False,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e
85850e5b-b9ce-4f1c-bfb0-679b85497e48,YZP-732,Toyota,Hilux,2018,Verde,camioneta,21.7,241.1,False,SOA-694,2024-12-31,GPS-102,False,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e
db141830-63d0-4877-a2b6-d29f469ee091,XWS-791,Chevrolet,S10,2018,Blanco,camioneta,5.1,463.6,True,SOA-240,2024-12-31,GPS-294,True,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f
3bbece5e-d874-49c3-8593-a91d2c6e680b,YVM-329,Volvo,FH16,2021,Amarillo,camioneta,19.2,610.5,True,SOA-219,2024-12-31,GPS-142,True,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e
002ce194-f95c-4c58-9365-1b93ee806a47,DKN-945,Mitsubishi,Fuso,2020,Gris,camioneta,2.3,727.7,False,SOA-099,2024-12-31,GPS-383,True,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a
711f4e7b-e2a5-4804-924d-374447999c32,YCB-673,Mercedes-Benz,Actros,2023,Azul,camioneta,2.3,636.6,True,SOA-422,2024-12-31,GPS-453,True,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b
4b6e8c1f-7189-4572-b711-cf10b11d7586,EHP-456,Ford,Ranger,2019,Gris,camioneta,15.2,192.0,True,SOA-652,2024-12-31,GPS-117,True,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a
136b9193-bdb7-4551-86a8-f338927be603,EFB-966,Volvo,FH16,2019,Verde,camioneta,19.5,326.2,False,SOA-901,2024-12-31,GPS-859,False,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e
8b409c11-5dba-4c5d-9be2-a08a6972b6bc,UDN-615,Mercedes-Benz,Actros,2022,Plata,camion,23.2,768.7,False,SOA-620,2024-12-31,GPS-247,False,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b
4d73096a-791c-4dfb-bd2b-163fd34a88c9,SFH-472,Mitsubishi,Fuso,2023,Negro,camioneta,20.3,708.6,False,SOA-346,2024-12-31,GPS-298,True,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d
9b80399d-e025-4e1e-b225-f3466dae54b7,HUJ-692,Toyota,Hilux,2022,Plata,camion,9.0,464.3,True,SOA-404,2024-12-31,GPS-981,False,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c
697196cd-92c3-4e71-90e0-0bcba633b536,LLS-463,Mitsubishi,Fuso,2019,Rojo,camion,19.9,148.2,True,SOA-119,2024-12-31,GPS-887,True,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c
0d735cc7-66a5-4f7c-a0df-591518a93bd4,TOD-836,Toyota,Hilux,2021,Gris,camioneta,5.1,561.9,True,SOA-307,2024-12-31,GPS-720,False,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c
8fd5c186-9f10-4944-b792-865c64a70d09,TVP-349,Mercedes-Benz,Actros,2022,Plata,camion,8.7,126.1,True,SOA-733,2024-12-31,GPS-315,False,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f
33538d09-1e2d-46f1-bb4b-39fd4ad5dded,ROC-154,Hyundai,HD65,2019,Negro,camioneta,6.8,461.8,True,SOA-792,2024-12-31,GPS-304,True,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d
fdaef385-805b-4142-974b-256ce7159d6b,WPL-016,Hyundai,HD65,2022,Amarillo,camion,1.3,375.8,True,SOA-234,2024-12-31,GPS-568,True,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d
c4c57921-345e-4707-8167-f72af6918f67,XNV-141,Hyundai,HD65,2023,Azul,camioneta,4.1,68.8,False,SOA-443,2024-12-31,GPS-733,True,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b
